CharID	CharName	Gender
u412	BRIAN	m
u413	CHIEF FITZGERALD	?
u414	DENNIS	?
u415	GRINDLE	?
u416	HELEN	f
u417	JENNIFER	f
u418	RICCO	?
u419	RONALD	?
u420	SHADOW	m
u421	STEPHEN	m
u422	SWAYZAK	?
u423	TIM	?
u424	WILLY	?
u425	ARIANE	f
u426	ELDERLY BLACK WOMAN	?
u427	FENCE	?
u428	JC	?
u429	JESUS	?
u430	LARGE	?
u431	LITE	m
u432	LT	m
u433	NUN	?
u434	PRIEST	?
u435	1/16TH BLACK	?
u436	AUDIENCE	?
u437	BIG BLACK	?
u438	CHEEBA	?
u439	DELACROIX	m
u440	DOT	?
u441	DUNWITTY	m
u442	GARY BYRD	?
u443	HONEYCUTT	?
u444	JUKKA	?
u445	JUNEBUG	m
u446	MANRAY	?
u447	MANTAN	m
u448	MONA	?
u449	MYRNA	?
u450	ORCHID	f
u451	SLEEP 'N EAT	M
u452	SLOAN	f
u453	TAVIS SMILEY	?
u454	ARMED GENTLEMAN	?
u455	CAPTAIN BEST	?
u456	CAPTAIN GALGENSTEIN	m
u457	CAPTAIN GROGAN	m
u458	CAPTAIN O'REILLY	?
u459	CHEVALIER	m
u460	COUNT	?
u461	COUNTESS	F
u462	DOROTHY	?
u463	HARRY	?
u464	HENRI	?
u465	LORD WEST	?
u466	MICHAEL	?
u467	MINISTER GALGENSTEIN	?
u468	MRS. O'REILLY	?
u469	NEWCOMBE	?
u470	PATRICK	?
u471	PRINCE	?
u472	PRUSSIAN OFFICER	?
u473	RODERICK	M
u474	SIR WILLIAM	?
u475	VALDEZ	?
u476	BARTENDER	?
u477	CHILDS	?
u478	DUNBAR	m
u479	HARDY	m
u480	KENDALL	m
u481	MUELLER	?
u482	OSBORNE	f
u483	PIKE	m
u484	SERGEANT	?
u485	STYLES	m
u486	THE CADETS	?
u487	WEST	?
u488	AMOS	m
u489	BEAMEN	?
u490	DON PRICE	?
u491	DR. BENNETT	?
u492	EDWARD	M
u493	JENNY	f
u494	JOSEPHINE	f
u495	KARL	?
u496	NORTHER WINSLOW	?
u497	SANDRA	f
u498	WILL	m
u499	ALEXEI	?
u500	BRANCH MANAGER	?
u501	JOHN	m
u502	NADIA	f
u503	OFFICIAL	?
u504	YURI	m
u505	ANGELA	f
u506	BOJO	?
u507	BRYAN	?
u508	ELLA MAE	?
u509	GILL	m
u510	JESSE	?
u511	LAZARUS	m
u512	LINCOLN	?
u513	MAYELLA	?
u514	R.L.	M
u515	RAE	f
u516	RONNIE	m
u517	ROSE	f
u518	SANDY	?
u519	TEHRONNE	m
u520	CHARLIE	m
u521	CONNIE	?
u522	ICH	?
u523	JOYCE	f
u524	KOBO	?
u525	NICK	m
u526	OHASHI	m
u527	OLIVER	?
u528	SUGAI	?
u529	BATTY	m
u530	BRYANT	?
u531	CHEW	?
u532	DECKARD	m
u533	DECKARD'S VOICE	?
u534	ESPER	?
u535	GAFF	?
u536	HOLDEN	?
u537	LEON	?
u538	MARY	?
u539	PRIS	f
u540	RACHAEL	f
u541	SALOME	?
u542	SEBASTIAN	m
u543	TAFFEY	?
u544	TYRELL	?
u545	VOICE	?
u546	WHEELER	?
u547	ADAM	m
u548	ARON	?
u549	ATKINSON	?
u550	BELLBOY	?
u551	BUTCHER	?
u552	BYSTANDER #1	?
u553	CALVIN	m
u554	CLERK	?
u555	CLIFF	?
u556	EVE	f
u557	HELEN	f
u558	JERRY	?
u559	LEVY	?
u560	MISS SWEET	?
u561	MOM	?
u562	PILOT	?
u563	POSTAL WORKER	?
u564	SODA JERK	?
u565	STREET WALKER	?
u566	TOWER	?
u567	TROY	m
u568	AUNT BARBARA	?
u569	BEN	?
u570	DETECTIVE WILLIAMS	m
u571	DOROTHY	f
u572	F.B.I. MAN	?
u573	FRANK	?
u574	JEFFREY	m
u575	MIKE	?
u576	MR. BEAUMONT	?
u577	MRS. BEAUMONT	?
u578	MRS. WILLIAMS	?
u579	RAYMOND	?
u580	SANDY	f
u581	YELLOW MAN	?
u582	AUGUSTUS	?
u583	BOTH	?
u584	CHAFFEY	?
u585	CONNOR	m
u586	DOC	?
u587	DOLLY	?
u588	DONNA	?
u589	DUFFY	m
u590	GREENLY	?
u591	MOM	?
u592	MURPHY	m
u593	PRIEST	m
u594	ROCCO	m
u595	ROZ	?
u596	SMECKER	m
u597	VINCENZO	?
u598	YAKAVETTA	?
u599	ANTHONY	m
u600	APPLEJACK	?
u601	BOB	m
u602	COP	?
u603	DIGNAN	m
u604	EMPLOYEE	?
u605	FUTURE MAN	?
u606	INEZ	?
u607	JACKSON	?
u608	KUMAR	?
u609	LITTLE RICHARD	?
u610	MAN	?
u611	MR. HENRY	m
u612	ABBOTT	m
u613	BOURNE	m
u614	CRONIN	?
u615	GRETKOV	?
u616	IRENA	f
u617	IVAN	?
u618	JARDA	?
u619	MARIE	f
u620	MARSHALL	?
u621	NEVINS/PHONE	?
u622	NICKY	f
u623	PAMELA	f
u624	PAMELA/PHONE	?
u625	TEDDY	?
u626	VIC	?
u627	ZORN	?
u628	ARGYLE	?
u629	CRAIG	?
u630	EDWARD	?
u631	HAMISH	?
u632	LEADER	?
u633	LEPER	?
u634	LONGSHANKS	?
u635	MAGISTRATE	?
u636	MARION	f
u637	NICOLETTE	?
u638	PRINCESS	f
u639	ROBERT	?
u640	STEPHEN	?
u641	WALLACE	m
u642	WILLIAM	m
u643	ANDREA	f
u644	CARLOS	?
u645	DR. REDFIELD	m
u646	EVAN	m
u647	HEIDI	?
u648	HUNTER	?
u649	JASON	?
u650	KAYLEIGH	f
u651	LENNY	?
u652	MR. MILLER	?
u653	MRS. BOSWELL	?
u654	PROFESSOR CARTER	?
u655	THUMPER	?
u656	TOMMY	?
u657	WAITRESS	?
u658	ANNINA	f
u659	BERGER	?
u660	CARL	?
u661	EMIL	?
u662	EUROPEAN	?
u663	FERRARI	m
u664	ILSA	f
u665	LASZLO	m
u666	RENAULT	m
u667	RICK	m
u668	SAM	m
u669	STRASSER	m
u670	TOURIST	?
u671	UGARTE	m
u672	YVONNE	?
u673	ALEKSEI	?
u674	BADCHUCK	m
u675	BETTINA	?
u676	CHUCK	m
u677	CHUCK/CAPTAIN	?
u678	DOCTOR	?
u679	DRIVER	?
u680	ERICA	?
u681	GOODCHUCK	m
u682	KELLY	f
u683	LESLIE	?
u684	MOM	?
u685	ROGER	?
u686	STAN	m
u687	TECHNICIAN	?
u688	VOICE	?
u689	ANGELA	f
u690	BUSTER	m
u691	CANDY	f
u692	CURLY	?
u693	EDNA	?
u694	FUZZY	?
u695	HOMER	m
u696	JACK	?
u697	LARCH	m
u698	MAJOR WINSLOW	?
u699	MARY AGNES	?
u700	MR. ROSE	m
u701	MRS. GOODHALL	?
u702	MUDDY	?
u703	OLIVE	?
u704	PEACHES	?
u705	RAY	?
u706	ROSE ROSE	f
u707	WALLY	m
u708	ASHBY	m
u709	BIG AL	?
u710	BUTCH	m
u711	GILLETTE	?
u712	GORDO	m
u713	JAKE	m
u714	KING PIN	m
u715	LILY	f
u716	LIONEL	?
u717	LUPUS	m
u718	MILES	m
u719	MOONAN	?
u720	MR. LEWIS	?
u721	ROTTOVICH	?
u722	SALESGIRL	?
u723	SOBOZINSKI	?
u724	SUITS	?
u725	BELLA	f
u726	DEALER	?
u727	GILES	m
u728	JACK	m
u729	JACK SR.	?
u730	JANI	f
u731	LUCY	?
u732	MAN	?
u733	MARION	f
u734	MATT	m
u735	REYNOLDS	m
u736	ROSS	?
u737	BOILER	m
u738	BOMB #19	?
u739	BOMB #20	m
u740	DOOLITTLE	m
u741	PINBACK	m
u742	POWELL	m
u743	TALBY	m
u744	BLONDE	?
u745	BRUNO	m
u746	DARREN	?
u747	HERBAL	?
u748	INGA	?
u749	KENDRA	?
u750	LAUREN	?
u751	LOGAN	M
u752	LYDIA	f
u753	MAX	M
u754	NORMAL	?
u755	ORIGINAL CINDY	f
u756	SKETCHY	M
u757	SONRISA	?
u758	SOPHY	?
u759	THEO	?
u760	VOGELSANG	?
u761	AMANDA	?
u762	BARTENDER	?
u763	BETH	?
u764	CHRISTINE	?
u765	HAWK	m
u766	JAM	m
u767	KENNY	?
u768	LEX	m
u769	LITTLE KID	?
u770	MAN WITH COAT	?
u771	MRS. BRUCE	?
u772	PRIEST	?
u773	SCALPER	?
u774	SIMPLE SIMON'S VOICE	?
u775	TRIP	m
u776	TRIP'S VOICE	?
u777	AUDIENCE	?
u778	DAVID	?
u779	DONNIE	m
u780	DR. MONNITOFF	?
u781	DR. THURMAN	M
u782	EDDIE	?
u783	ELIZABETH	?
u784	FRANK	?
u785	GRETCHEN	f
u786	JIM CUNNINGHAM	?
u787	LEROY	?
u788	MS. FARMER	?
u789	MS. POMEROY	?
u790	PRINCIPAL COLE	?
u791	RONALD	?
u792	ROSE	?
u793	SAMANTHA	?
u794	SEAN	?
u795	SETH	?
u796	AMBER	f
u797	ANNETTE	f
u798	BECKY	?
u799	BRETT	?
u800	COLLEEN	?
u801	DOCUMENTARIAN	?
u802	FRY GIRL #1	?
u803	GLADYS	?
u804	HANK	?
u805	HAROLD	?
u806	IRIS	?
u807	LESLIE	?
u808	LESTER	?
u809	LISA	?
u810	LORETTA	f
u811	MR. HOWARD	?
u812	MR. LARSON	?
u813	PREGNANT FRY GIRL	?
u814	TERRY	?
u815	TINA	?
u816	ALL	?
u817	BOB	m
u818	CHICO	m
u819	ENSEMBLE	?
u820	GROUCHO	M
u821	MRS. TEASDALE	m
u822	TRENTINO	m
u823	VERA	?
u824	ANNE	f
u825	BOY	?
u826	BYTES	m
u827	CARR	m
u828	FOX	?
u829	K. HEN	?
u830	KATH	?
u831	KENDAL	?
u832	MERRICK	m
u833	MOTHERSHEAD	f
u834	NIGHT PORTER	?
u835	NORA	?
u836	OWNER	?
u837	PLUMED DWARF	?
u838	TREVES	m
u839	AUD	f
u840	ERIK	m
u841	FREYA	?
u842	GIRL	?
u843	GRANDAD	?
u844	GRANDFATHER	?
u845	HARALD	?
u846	HELGA	f
u847	IVAR	?
u848	KEITEL	m
u849	KING ARNULF	m
u850	LEIF	?
u851	LOKI	m
u852	ODIN	?
u853	SNORRI	?
u854	SVEN	m
u855	SVEN'S DAD	m
u856	THORFINN	?
u857	THORFINN'S MUM	?
u858	CARRIE	?
u859	CLEMENTINE	f
u860	CLEMENTINE'S VOICE	?
u861	JOEL	m
u862	MARY	f
u863	MIERZWIAK	m
u864	NAOMI	f
u865	NAOMI'S VOICE	?
u866	OLD WOMAN	?
u867	PATRICK	m
u868	RECEPTIONIST	?
u869	STAN	m
u870	STAN'S VOICE	?
u871	VOICE-OVER	?
u872	CHINK	m
u873	HOWARD	?
u874	JELLY	f
u875	JULIAN	?
u876	MAN	?
u877	SISSY	f
u878	THE COUNTESS	m
u879	COOPER	m
u880	DJ	?
u881	HOLLIS	?
u882	JUSTIN	?
u883	LYLE	?
u884	MILLER	m
u885	PETERS	f
u886	SMITH	m
u887	STARCK	f
u888	WEIR	m
u889	ALICIA	?
u890	BEN	m
u891	DEBBIE	?
u892	DOCTOR	?
u893	JOHNNY	m
u894	LEONARD	?
u895	REED	m
u896	SEXY NURSE	?
u897	SUE	f
u898	THE THING	?
u899	VICTOR	m
u900	ARNOLD	?
u901	BRAD	m
u902	BUSINESSMAN	?
u903	CURTIS	?
u904	DAMONE	m
u905	DENNIS	?
u906	GIRL	?
u907	GRIFFIN	?
u908	HAROLD	?
u909	L.C.	?
u910	LINDA	f
u911	LISA	?
u912	MR. HAND	m
u913	RON	?
u914	SPICOLI	m
u915	STACY	f
u916	THE RAT	?
u917	WAITRESS	?
u918	CLERK	f
u919	DA	?
u920	DUKE	m
u921	GONZO	m
u922	HIGHWAY PATROLMAN	?
u923	HITCHHIKER	?
u924	MAID	?
u925	PROPRIETOR	?
u926	ADULTERER	?
u927	BARTENDER	?
u928	BEER GUY	?
u929	BELLE	f
u930	BOSS MAN	m
u931	BOZO	?
u932	GOLDIE	?
u933	GOOD GUY	?
u934	GRANDPA	?
u935	HEROINE	f
u936	PARA	?
u937	ROADIE	?
u938	SICKLY BROWNIE	?
u939	TRAMPY	?
u940	TROOP LEADER	?
u941	TUFFY	?
u942	BARNES	?
u943	BEBE	?
u944	CLAIRE	?
u945	CLIFFORD	?
u946	CLURMAN	?
u947	COP	?
u948	DICK	m
u949	DOCTOR	?
u950	DOYLE	?
u951	DRAMA TEACHER	?
u952	EDWARDS	?
u953	ERNEST	m
u954	FIRE CHIEF	?
u955	FRANCES	f
u956	HARRY	m
u957	HITCHHIKER	?
u958	JUDGE	?
u959	JUDGE HILLIER'S WIFE	?
u960	KAMINSKI	?
u961	LAWYER	?
u962	LILLIAN	f
u963	MAN	?
u964	ODETS	?
u965	OLDER NURSE	?
u966	SERGEANT	?
u967	SYMINGTON	m
u968	YORK & CROWD	?
u969	YOUNG MAN	m
u970	YOUNG NURSE	?
u971	CREATURE	?
u972	ELIZABETH	f
u973	FATHER	?
u974	GRANDFATHER	?
u975	GRIGORI	?
u976	HENRY	m
u977	JUSTINE	?
u978	KREMPE	?
u979	PROSECUTOR	?
u980	VICTOR	m
u981	WALDMAN	?
u982	WALTON	?
u983	ALICE	f
u984	BARRY	?
u985	BILL	m
u986	BRENDA	?
u987	CLAUDETTE	?
u988	JACK	?
u989	MARCIE	?
u990	MRS. VOORHEES	?
u991	NED	?
u992	SANDY	?
u993	STEVE	?
u994	TIERNEY	?
u995	BORDER GUARD	?
u996	CARLOS	?
u997	JACOB	m
u998	KATE	f
u999	KELLY HOUGE	?
u1000	MCGRAW	?
u1001	PETE	?
u1002	RAZOR CHARLIE	?
u1003	RICHARD	m
u1004	SCOTT	?
u1005	SETH	m
u1006	STANLEY CHASE	?
u1007	BLONDELL	?
u1008	C.O.	m
u1009	CORTEZ	?
u1010	DEHAVEN	f
u1011	DEHAVEN'S AIDE	?
u1012	FLAG OFFICER #1	?
u1013	FLEA	?
u1014	HAYES	?
u1015	INSTRUCTOR JOHNS	?
u1016	INSTRUCTOR PYRO	?
u1017	JORDAN	f
u1018	MCCOOL	?
u1019	ROYCE	m
u1020	SLUTNIK	?
u1021	THE CHIEF	?
u1022	THE SPOOK	?
u1023	WICKWIRE	m
u1024	ANIMAL	m
u1025	AUDREY	f
u1026	CAIMAN	?
u1027	ELSIE	?
u1028	JEAN-CLAUDE	?
u1029	KID	?
u1030	LT. ANDERSON	?
u1031	LUCY	?
u1032	MAJOR HICKS	M
u1033	MAYOR	?
u1034	NICK	M
u1035	RAYMOND	?
u1036	ALEXANDER	m
u1037	BRANDON	m
u1038	COMPUTER	?
u1039	FRED	?
u1040	GUY	?
u1041	GWEN	f
u1042	JASON	m
u1043	KYLE	?
u1044	LATHE	?
u1045	MATHESAR	m
u1046	NERVOUS TECH	?
u1047	QUELLEK	m
u1048	SARRIS	?
u1049	TOMMY	m
u1050	ARNOLD	M
u1051	BILLY LEE	?
u1052	CORNWALLIS	?
u1053	GENERAL LEE	?
u1054	HAMILTON	m
u1055	HORATIO GATES	?
u1056	JOHN ADAMS	?
u1057	JOSEPH REED	m
u1058	LAFAYETTE	m
u1059	MARTHA	f
u1060	MAWHOOD	?
u1061	NATHANAEL GREENE	m
u1062	SALLY	f
u1063	SAM ADAMS	?
u1064	WASHINGTON	M
u1065	WILLIAM	?
u1066	YOUNG WASHINGTON	m
u1067	ATTENDANT	?
u1068	BEAR	m
u1069	BO CATLETT	m
u1070	BONES	m
u1071	CHILI	m
u1072	CURTIS	?
u1073	DICK	?
u1074	DIRECTOR	?
u1075	DORIS	?
u1076	ESCOBAR	?
u1077	HARRY	m
u1078	KAREN	f
u1079	LEO	?
u1080	MANAGER	?
u1081	MARTIN	m
u1082	RAY BONES	?
u1083	RONNIE	?
u1084	TOMMY	m
u1085	COASTGUARD DISPATCHER	?
u1086	DODGE	m
u1087	EPPS	f
u1088	GREER	m
u1089	MURPHY	m
u1090	RIVETER	?
u1091	VASILI	?
u1092	DAD	m
u1093	DANA	?
u1094	ENID	f
u1095	GERROLD	?
u1096	GIRL	?
u1097	JOE	?
u1098	JOHN	?
u1099	JOHN ELLIS	?
u1100	JOSH	m
u1101	MAN	?
u1102	MANAGER	?
u1103	MARGARET	?
u1104	MAXINE	?
u1105	MELORRA	?
u1106	REBECCA	f
u1107	ROBERTA	f
u1108	SEYMOUR	m
u1109	THERAPIST	?
u1110	TODD	?
u1111	ABDULLAH	?
u1112	BEAUMONT	m
u1113	HAWTHORNE	?
u1114	HELENA	?
u1115	MIDDLE COOLIE	?
u1116	PATTERSON	m
u1117	REDBEARD	m
u1118	SAMUEL	m
u1119	STARLING	m
u1120	DANA	f
u1121	ELAINE	?
u1122	FRANK	?
u1123	HARDEMEYER	?
u1124	JANINE	f
u1125	JANOSZ	m
u1126	JUDGE	?
u1127	LOUIS	m
u1128	MILTON	?
u1129	PROSECUTOR	?
u1130	SHERMAN	?
u1131	SPENGLER	?
u1132	STANTZ	m
u1133	VENKMAN	m
u1134	VIGO	?
u1135	WINSTON	m
u1136	BRIDE	?
u1137	COED	?
u1138	DANA	F
u1139	DEAN YAEGER	?
u1140	FIRST BUM	?
u1141	GROOM	?
u1142	HEAD LIBRARIAN	?
u1143	JANINE	?
u1144	LOUIS	?
u1145	MANAGER	?
u1146	PECK	?
u1147	SECOND BUM	?
u1148	SOPHOMORE	?
u1149	SPENGLER	M
u1150	STANTZ	M
u1151	STREET PUNK	?
u1152	VENKMAN	M
u1153	WINSTON	?
u1154	WOMAN	?
u1155	COMMODUS	m
u1156	COS	?
u1157	FALCO	?
u1158	GAIUS	?
u1159	GRACCHUS	?
u1160	JUBA	?
u1161	LUCILLA	f
u1162	MARCUS AURELIUS	?
u1163	NARCISSUS	M
u1164	PROXIMO	m
u1165	QUINTUS	?
u1166	SELENE	f
u1167	THEMIS	?
u1168	TRIBUUS	?
u1169	BEN	m
u1170	BEN'S VOICE	?
u1171	CLERK	?
u1172	ELAINE	f
u1173	MR. BRADDOCK	m
u1174	MR. MCCLEERY	m
u1175	MR. MCQUIRE	?
u1176	MR. ROBINSON	m
u1177	MRS. BRADDOCK	f
u1178	MRS. ROBINSON	f
u1179	MRS. ROBINSON'S VOICE	f
